code,secteur_chefferie
Code,Secteur/Chefferie
13203305,Chefferie de Mangbetu (Mangbetu-Mabisanga)
13203306,Chefferie de Manziga (Manzinga)
13203307,Chefferie d'Okoda (Okondo)
13204,Territoire de Rungu
13204301,Chefferie d'Azanga
13204302,Chefferie de Mayogo-Mabozo
13204303,"Chefferie de Mayogo-Magbay (Mayoyo-
Magbele)"
13204304,Chefferie de Mboli
13204305,Chefferie de Medje-Mango
13204306,Chefferie de Mongo-Masi (Mengo Mosi)
13204307,Chefferie de Ndey
13205,Territoire de Wamba
13205301,Chefferie de Bafwagada (Bafwangada)
13205302,Chefferie de Bafwakoy
13205303,Chefferie de Maha
13205304,Chefferie de Makoda
13205305,Chefferie de Malamba
13205306,Chefferie de Malika Toriko (Balika-Toriko)
13205307,Chefferie de Malikala (Malika)
13205308,Chefferie de Mangbele
13205309,Chefferie de Timoniko
13205310,Chefferie de Wadimbisa-Mabudu
13205401,"Secteur de Mabudu Malika Babero/Babeyru 
(Mmb)"
13206,Territoire de Watsa
13206301,Chefferie d' Andikofa
13206302,Chefferie d' Andobi
13206303,Chefferie d' Ateru
13206304,Chefferie de Kebo
13206305,Chefferie de Walese (Walesa)
13206401,Secteur de Gombari
13206402,Secteur de Kibali
13206403,Secteur de Mangbutu
13206404,Secteur de Mari-Minza
14,Ituri
14201,Territoire d'Aru
14201301,Chefferie d'Alur
14201302,Chefferie de Kakwa
14201303,Chefferie de Kaliko-Omi
14201304,Chefferie de Lu
14201305,Chefferie de Nio-Kamule
14201306,Chefferie d'Otso
14201307,Chefferie de Zaki
14201401,Secteur de Ndo-Kebo
14202,Territoire de Djugu
14202301,Chefferie de Bahema-Badjere
14202302,Chefferie de Bahema-Banywagi
14202303,Chefferie de Bahema-Nord
14202304,Chefferie de Mabendi (Mabengi)
14202305,Chefferie de Mambisa
14202306,Chefferie de Ndo-Okebo
14202401,Sec. de Banyali–Kilo (Baniari-Tchabi)
14202402,Secteur de Walendu-Djatshi
14202403,Secteur de Walendu-Pitshi
14202404,Secteur de Walendu-Tatsi
14203,Territoire d'Irumu
14203301,Chefferie d'Andisoma
14203302,Chefferie de Babelebe
14203303,Chefferie de Baboa-Bakoe
14203304,Chefferie de Bahema d'Irumu
14203305,Chefferie de Bahema Mitego (Bahema Mitega)
14203306,Chefferie de Bahema-Boga
14203307,Chefferie de Baniari-Tchiabi
14203308,Chefferie de Basili
14203309,Chefferie de Mobala
14203310,Chefferie de Walendu-Bindi
14203311,Chefferie de Walese Vonkutu
14203401,Secteur de Bahema Sud
14204,Territoire de Mahagi
14204301,Chefferie d'Alur-Djuganda
14204302,Chefferie d'Anghal  1 & 2
14204303,Chefferie de Djukoth 1 & 2
14204304,Chefferie de Mokambo
14204305,Chefferie de Pandoro
14204306,Chefferie de Walendu-Watshi
14204307,Chefferie de Wangongo
14204308,Chefferie de War-Palara
14205,Territoire de Mambasa
14205301,Chefferie de Babila Babombi
14205302,Chefferie de Babila-Bakwanza
14205303,Chefferie de Bandaka
14205304,Chefferie de Bombo-Bagumba (-Baguma)
14205305,Chefferie de Mambasa
14205306,Chefferie de Walese-Dese
14205307,Chefferie de Walese-Karo (-Koro)
15,Nord-Kivu
15201,Territoire de Lubero
15201301,Chefferie de Bamate
15201302,Chefferie de Baswaga
15201303,Chefferie de Batangi
15201401,Secteur de Bapere
15202,Territoire de Masisi
15202301,Chefferie de Bahunde
15202302,Chefferie de Bashali
15202401,Secteur d'Osso (Banyungu)
15202402,Secteur de Katoy
15203,Territoire de Nyiragongo
15203301,Chefferie de Bukumu
15204,Territoire de Oicha (Ex-Beni)
15204301,Chefferie de Bashu
15204302,Chefferie de Watalinga
15204401,Secteur de Beni-Mbau
15204402,Secteur de Ruwenzori
15205,Territoire de Rutshuru
15205301,Chefferie de Bwisha
15205302,Chefferie de Bwito
15206,Territoire de Walikale
15206401,Secteur de Bakano
15206402,Secteur de Wanianga
16,Sud-Kivu
16201,Territoire de Fizi
16101401,Secteur de Lulenge
16101402,Secteur de Mutambala
16101403,Secteur de Ngandja
16101404,Secteur de Tanganyika
16202,Territoire d'Idjwi
16202301,Chefferie de Ntambuka
16202302,Chefferie de Rubenga
16203,Territoire de Kabare
16202301,Chefferie de Kabare
16202302,Chefferie de Nindja
16204,Territoire de Kalehe
16202301,Chefferie de Buhavu
16202302,Chefferie de Buloho
16205,Territoire de Mwenga
16205301,Chefferie de Basile
16205302,Chefferie de Burhinyi
16205303,Chefferie de Luhwindja
16205304,Chefferie de Luindi
16205305,Chefferie de Wamuzimu
16205401,Secteur d'Itombwe
16206,Territoire de Shabunda
16206301,Chefferie de Bakisi
16206302,Chefferie de Wakabongo 1
16207,Territoire d'Uvira
16207301,Chefferie de Bafulero
16207302,Chefferie de Bavira
16207303,Chefferie de Plaine de la Ruzizi
16208,Territoire de Walungu
16208301,Chefferie de Kaziba
16208302,Chefferie de Ngweshe
17,Maniema
17201,Territoire de Kabambare
17201401,Secteur de Bahemba
17201402,Secteur de Babuyu
17201403,Secteur de Bahombo (Bangu-Bangu)
17201404,Secteur de Lulindi
17201405,Secteur de Salamabila
17201406,Secteur de Wamaza
17202,Territoire de Kailo
17202301,Chefferie de Bangengele
17202401,Secteur d'Ambwe
17202402,Secteur de Balanga
17202403,Secteur de Wasongola
17203,Territoire de Kasongo
